epoch , batch_size, learning_rate, accuracy, loss
1 , 100 , 0.0005 , 0.15634772181510925 , 2.06534743309021
2 , 100 , 0.0005 , 0.20544089376926422 , 2.0138752460479736
3 , 100 , 0.0005 , 0.26891806721687317 , 1.9167585372924805
4 , 100 , 0.0005 , 0.2781426012516022 , 1.9066399335861206
5 , 100 , 0.0005 , 0.28502190113067627 , 1.8889245986938477
6 , 100 , 0.0005 , 0.29221388697624207 , 1.8751343488693237
7 , 100 , 0.0005 , 0.2953408360481262 , 1.8477705717086792
8 , 100 , 0.0005 , 0.30456534028053284 , 1.8638250827789307
9 , 100 , 0.0005 , 0.2962789237499237 , 1.873117208480835
10 , 100 , 0.0005 , 0.3094121217727661 , 1.8304102420806885
11 , 100 , 0.0005 , 0.3219199478626251 , 1.8267714977264404
12 , 100 , 0.0005 , 0.32535961270332336 , 1.8291581869125366
13 , 100 , 0.0005 , 0.3106629252433777 , 1.8496342897415161
14 , 100 , 0.0005 , 0.3198874294757843 , 1.8388959169387817
15 , 100 , 0.0005 , 0.329424649477005 , 1.8128186464309692
16 , 100 , 0.0005 , 0.32426515221595764 , 1.8368734121322632
17 , 100 , 0.0005 , 0.3411507308483124 , 1.8103221654891968
18 , 100 , 0.0005 , 0.353658527135849 , 1.780572533607483
19 , 100 , 0.0005 , 0.34365227818489075 , 1.7794640064239502
20 , 100 , 0.0005 , 0.3513133227825165 , 1.7773005962371826
21 , 100 , 0.0005 , 0.3444340229034424 , 1.791166067123413
22 , 100 , 0.0005 , 0.33442777395248413 , 1.8060520887374878
23 , 100 , 0.0005 , 0.3480300307273865 , 1.7896597385406494
24 , 100 , 0.0005 , 0.35741087794303894 , 1.7662248611450195
25 , 100 , 0.0005 , 0.3386491537094116 , 1.8222140073776245
26 , 100 , 0.0005 , 0.37085679173469543 , 1.7582457065582275
27 , 100 , 0.0005 , 0.3491244614124298 , 1.7943793535232544
28 , 100 , 0.0005 , 0.35741087794303894 , 1.7714930772781372
29 , 100 , 0.0005 , 0.3488117456436157 , 1.790197730064392
30 , 100 , 0.0005 , 0.35287681221961975 , 1.7866040468215942
31 , 100 , 0.0005 , 0.3553783595561981 , 1.7726306915283203
32 , 100 , 0.0005 , 0.3619449734687805 , 1.752868413925171
33 , 100 , 0.0005 , 0.3520950675010681 , 1.785152554512024
34 , 100 , 0.0005 , 0.36757346987724304 , 1.7651963233947754
35 , 100 , 0.0005 , 0.37554723024368286 , 1.7447348833084106
36 , 100 , 0.0005 , 0.36929330229759216 , 1.7550339698791504
37 , 100 , 0.0005 , 0.35584741830825806 , 1.7777138948440552
38 , 100 , 0.0005 , 0.3625703454017639 , 1.7544934749603271
39 , 100 , 0.0005 , 0.37711068987846375 , 1.7391806840896606
40 , 100 , 0.0005 , 0.34959349036216736 , 1.7825077772140503
41 , 100 , 0.0005 , 0.3724202513694763 , 1.7588081359863281
42 , 100 , 0.0005 , 0.3717948794364929 , 1.7473074197769165
43 , 100 , 0.0005 , 0.38664790987968445 , 1.7204698324203491
44 , 100 , 0.0005 , 0.3742964267730713 , 1.7454506158828735
45 , 100 , 0.0005 , 0.369449645280838 , 1.7570246458053589
46 , 100 , 0.0005 , 0.3658536672592163 , 1.75266695022583
47 , 100 , 0.0005 , 0.38821136951446533 , 1.7288968563079834
48 , 100 , 0.0005 , 0.37773609161376953 , 1.7478599548339844
49 , 100 , 0.0005 , 0.38039398193359375 , 1.7572065591812134
50 , 100 , 0.0005 , 0.37257662415504456 , 1.737401008605957
51 , 100 , 0.0005 , 0.3924327790737152 , 1.693321943283081
52 , 100 , 0.0005 , 0.3858661651611328 , 1.701342225074768
53 , 100 , 0.0005 , 0.3664790391921997 , 1.7562425136566162
54 , 100 , 0.0005 , 0.37742337584495544 , 1.761687159538269
55 , 100 , 0.0005 , 0.3750781714916229 , 1.7403476238250732
56 , 100 , 0.0005 , 0.37773609161376953 , 1.7273961305618286
57 , 100 , 0.0005 , 0.3832082450389862 , 1.729834794998169
58 , 100 , 0.0005 , 0.40494057536125183 , 1.6844218969345093
59 , 100 , 0.0005 , 0.39352720975875854 , 1.7056142091751099
60 , 100 , 0.0005 , 0.37945592403411865 , 1.7294265031814575
61 , 100 , 0.0005 , 0.381957471370697 , 1.7309234142303467
62 , 100 , 0.0005 , 0.3864915668964386 , 1.7200992107391357
63 , 100 , 0.0005 , 0.3924327790737152 , 1.7060394287109375
64 , 100 , 0.0005 , 0.39321452379226685 , 1.7047698497772217
65 , 100 , 0.0005 , 0.3753908574581146 , 1.7580147981643677
66 , 100 , 0.0005 , 0.38602250814437866 , 1.712747573852539
67 , 100 , 0.0005 , 0.39258912205696106 , 1.702654242515564
68 , 100 , 0.0005 , 0.38461539149284363 , 1.7134753465652466
69 , 100 , 0.0005 , 0.38336458802223206 , 1.7345985174179077
70 , 100 , 0.0005 , 0.3972795605659485 , 1.7117035388946533
71 , 100 , 0.0005 , 0.4032207727432251 , 1.6870090961456299
72 , 100 , 0.0005 , 0.38398998975753784 , 1.7223418951034546
73 , 100 , 0.0005 , 0.38008129596710205 , 1.7402693033218384
74 , 100 , 0.0005 , 0.3897748589515686 , 1.7187318801879883
75 , 100 , 0.0005 , 0.39118197560310364 , 1.7215960025787354
76 , 100 , 0.0005 , 0.3844590485095978 , 1.7253215312957764
77 , 100 , 0.0005 , 0.40494057536125183 , 1.7028248310089111
78 , 100 , 0.0005 , 0.3868042528629303 , 1.7181060314178467
79 , 100 , 0.0005 , 0.40400248765945435 , 1.7030439376831055
80 , 100 , 0.0005 , 0.38930583000183105 , 1.7348092794418335
81 , 100 , 0.0005 , 0.387116938829422 , 1.7154635190963745
82 , 100 , 0.0005 , 0.40071919560432434 , 1.686083197593689
83 , 100 , 0.0005 , 0.3858661651611328 , 1.713866114616394
84 , 100 , 0.0005 , 0.38101938366889954 , 1.7259845733642578
85 , 100 , 0.0005 , 0.4107254445552826 , 1.682475209236145
86 , 100 , 0.0005 , 0.3789868652820587 , 1.7151896953582764
87 , 100 , 0.0005 , 0.39477798342704773 , 1.6914860010147095
88 , 100 , 0.0005 , 0.4091619849205017 , 1.6649445295333862
89 , 100 , 0.0005 , 0.38868042826652527 , 1.725766658782959
90 , 100 , 0.0005 , 0.4065040647983551 , 1.681140422821045
91 , 100 , 0.0005 , 0.39352720975875854 , 1.6903234720230103
92 , 100 , 0.0005 , 0.401500940322876 , 1.69260573387146
93 , 100 , 0.0005 , 0.38570982217788696 , 1.7300599813461304
94 , 100 , 0.0005 , 0.3983739912509918 , 1.711063265800476
95 , 100 , 0.0005 , 0.3949343264102936 , 1.7172259092330933
96 , 100 , 0.0005 , 0.3954033851623535 , 1.7174993753433228
