epoch , batch_size, learning_rate, accuracy, loss
1 , 100 , 0.0005 , 0.18151970207691193 , 2.0557053089141846
2 , 100 , 0.0005 , 0.23764853179454803 , 1.980499029159546
3 , 100 , 0.0005 , 0.26485303044319153 , 1.9371238946914673
4 , 100 , 0.0005 , 0.2611006796360016 , 1.9251843690872192
5 , 100 , 0.0005 , 0.26532208919525146 , 1.9007108211517334
6 , 100 , 0.0005 , 0.2772045135498047 , 1.879825234413147
7 , 100 , 0.0005 , 0.3005003035068512 , 1.8645961284637451
8 , 100 , 0.0005 , 0.3008130192756653 , 1.8573616743087769
9 , 100 , 0.0005 , 0.2909631133079529 , 1.8742555379867554
10 , 100 , 0.0005 , 0.30237647891044617 , 1.856055498123169
11 , 100 , 0.0005 , 0.30331456661224365 , 1.8430877923965454
12 , 100 , 0.0005 , 0.31378987431526184 , 1.8446693420410156
13 , 100 , 0.0005 , 0.3019074499607086 , 1.858046531677246
14 , 100 , 0.0005 , 0.3178549110889435 , 1.8477450609207153
15 , 100 , 0.0005 , 0.31113195419311523 , 1.834657907485962
16 , 100 , 0.0005 , 0.33255159854888916 , 1.8091381788253784
17 , 100 , 0.0005 , 0.33552220463752747 , 1.8125101327896118
18 , 100 , 0.0005 , 0.33317700028419495 , 1.8045222759246826
19 , 100 , 0.0005 , 0.3189493417739868 , 1.7979421615600586
20 , 100 , 0.0005 , 0.34631019830703735 , 1.7754119634628296
21 , 100 , 0.0005 , 0.32332709431648254 , 1.811927080154419
22 , 100 , 0.0005 , 0.3178549110889435 , 1.8217413425445557
23 , 100 , 0.0005 , 0.33505314588546753 , 1.7899366617202759
24 , 100 , 0.0005 , 0.33614760637283325 , 1.7704559564590454
25 , 100 , 0.0005 , 0.34537211060523987 , 1.7847177982330322
26 , 100 , 0.0005 , 0.34396496415138245 , 1.7822678089141846
27 , 100 , 0.0005 , 0.35256409645080566 , 1.765336275100708
28 , 100 , 0.0005 , 0.3481863737106323 , 1.7451529502868652
29 , 100 , 0.0005 , 0.3381801247596741 , 1.7924338579177856
30 , 100 , 0.0005 , 0.3402126431465149 , 1.7869739532470703
31 , 100 , 0.0005 , 0.35709819197654724 , 1.7738456726074219
32 , 100 , 0.0005 , 0.34693557024002075 , 1.7772024869918823
33 , 100 , 0.0005 , 0.3506879210472107 , 1.773028016090393
34 , 100 , 0.0005 , 0.3386491537094116 , 1.7820276021957397
35 , 100 , 0.0005 , 0.3691369593143463 , 1.743219017982483
36 , 100 , 0.0005 , 0.35881802439689636 , 1.755624532699585
37 , 100 , 0.0005 , 0.3481863737106323 , 1.7836072444915771
38 , 100 , 0.0005 , 0.36303940415382385 , 1.7486770153045654
39 , 100 , 0.0005 , 0.3727329671382904 , 1.7361420392990112
40 , 100 , 0.0005 , 0.3542839288711548 , 1.7513022422790527
41 , 100 , 0.0005 , 0.36006879806518555 , 1.7807393074035645
42 , 100 , 0.0005 , 0.34240150451660156 , 1.7574448585510254
43 , 100 , 0.0005 , 0.37148216366767883 , 1.7218660116195679
44 , 100 , 0.0005 , 0.3707004487514496 , 1.734492540359497
45 , 100 , 0.0005 , 0.36929330229759216 , 1.7512112855911255
46 , 100 , 0.0005 , 0.36866793036460876 , 1.7472920417785645
47 , 100 , 0.0005 , 0.3847717344760895 , 1.7190595865249634
48 , 100 , 0.0005 , 0.3703877329826355 , 1.7439568042755127
49 , 100 , 0.0005 , 0.3868042528629303 , 1.732107400894165
50 , 100 , 0.0005 , 0.3772670328617096 , 1.7039932012557983
51 , 100 , 0.0005 , 0.38789868354797363 , 1.6852177381515503
52 , 100 , 0.0005 , 0.39321452379226685 , 1.6871432065963745
53 , 100 , 0.0005 , 0.38789868354797363 , 1.7252875566482544
54 , 100 , 0.0005 , 0.3891494572162628 , 1.7141751050949097
55 , 100 , 0.0005 , 0.37617260217666626 , 1.734378457069397
56 , 100 , 0.0005 , 0.3933708667755127 , 1.705307960510254
57 , 100 , 0.0005 , 0.4016572833061218 , 1.6946446895599365
58 , 100 , 0.0005 , 0.37554723024368286 , 1.719279170036316
59 , 100 , 0.0005 , 0.39118197560310364 , 1.6862950325012207
60 , 100 , 0.0005 , 0.3930581510066986 , 1.6977784633636475
61 , 100 , 0.0005 , 0.36569732427597046 , 1.736453890800476
62 , 100 , 0.0005 , 0.38789868354797363 , 1.7116458415985107
63 , 100 , 0.0005 , 0.39649781584739685 , 1.6834839582443237
64 , 100 , 0.0005 , 0.4065040647983551 , 1.6790084838867188
